DFT_ID,Alloy,Ti,Zr,Hf,V,Nb,Ta,Mo,W,Re
DFT_0204,Hf3Nb31Ta35W31,0,0,3,0,31,35,0,31,0
DFT_0205,Hf4Ta81W14Re1,0,0,4,0,0,81,0,14,1
DFT_0206,Hf4Ta86W9Re1,0,0,4,0,0,86,0,9,1
DFT_0207,Hf4Ta88W7Re1,0,0,4,0,0,88,0,7,1
DFT_0208,Hf4Ta88W8,0,0,4,0,0,88,0,8,0
DFT_0209,Hf4Ta91W5,0,0,4,0,0,91,0,5,0
DFT_0210,Hf5Ta85W8Re2,0,0,5,0,0,85,0,8,2
DFT_0211,Hf5Ta90W4Re1,0,0,5,0,0,90,0,4,1
DFT_0212,Hf5Nb32Ta30W33,0,0,5,0,32,30,0,33,0
DFT_0213,Hf6Ta84W10,0,0,6,0,0,84,0,10,0
DFT_0214,Hf6V15Nb41Ta38,0,0,6,15,41,38,0,0,0
DFT_0215,Hf7Ta89W4,0,0,7,0,0,89,0,4,0
DFT_0216,Hf7Nb44Ta44W5,0,0,7,0,44,44,0,5,0
DFT_0217,Hf8Ta82W10,0,0,8,0,0,82,0,10,0
DFT_0218,Hf8Nb31Ta27W34,0,0,8,0,31,27,0,34,0
DFT_0219,Hf8V10Nb40Ta40Mo2,0,0,8,10,40,40,2,0,0
DFT_0220,Hf10Nb21Ta21Mo27W21,0,0,10,0,21,21,27,21,0
DFT_0221,Hf10Nb23Ta23Mo20W24,0,0,10,0,23,23,20,24,0
DFT_0222,Hf10Nb31Ta31W28,0,0,10,0,31,31,0,28,0
DFT_0223,Hf11Nb27Ta31W31,0,0,11,0,27,31,0,31,0
DFT_0224,Hf17Nb75W8,0,0,17,0,75,0,0,8,0
DFT_0225,Hf23Nb20Ta20Mo17W20,0,0,23,0,20,20,17,20,0
DFT_0226,Hf53Ta19Mo28,0,0,53,0,0,19,28,0,0
DFT_0227,Hf55Ta21Mo24,0,0,55,0,0,21,24,0,0
DFT_0228,Hf66Ta23Mo11,0,0,66,0,0,23,11,0,0
DFT_0229,Hf72Ta26Mo2,0,0,72,0,0,26,2,0,0
DFT_0230,Zr1Ta87Mo2W4Re6,0,1,0,0,0,87,2,4,6
DFT_0231,Zr1Ta91W4Re4,0,1,0,0,0,91,0,4,4
DFT_0232,Zr1Ta93W3Re3,0,1,0,0,0,93,0,3,3
DFT_0233,Zr1Nb84Mo8W7,0,1,0,0,84,0,8,7,0
DFT_0234,Zr1Nb85Mo4W10,0,1,0,0,85,0,4,10,0
DFT_0235,Zr1Nb85Ta4Mo6W4,0,1,0,0,85,4,6,4,0
DFT_0236,Zr1Nb89Mo7W3,0,1,0,0,89,0,7,3,0
DFT_0237,Zr1Nb91W8,0,1,0,0,91,0,0,8,0
DFT_0238,Zr1Nb92Mo6W1,0,1,0,0,92,0,6,1,0
DFT_0239,Zr1Hf1Ta88W7Re3,0,1,1,0,0,88,0,7,3
DFT_0240,Zr1Hf1Ta91Mo6W1,0,1,1,0,0,91,6,1,0
DFT_0241,Zr2Nb87Ta5Mo4W2,0,2,0,0,87,5,4,2,0
DFT_0242,Zr3Nb75Ta16W6,0,3,0,0,75,16,0,6,0
DFT_0243,Zr3Nb96W1,0,3,0,0,96,0,0,1,0
DFT_0244,Zr3Hf1Ta89Mo1W5Re1,0,3,1,0,0,89,1,5,1
DFT_0245,Zr4Nb84Ta5Mo2W5,0,4,0,0,84,5,2,5,0
DFT_0246,Zr5Ta87Mo1W7,0,5,0,0,0,87,1,7,0
DFT_0247,Zr5Nb90W5,0,5,0,0,90,0,0,5,0
