DFT_ID,Alloy,SWS,error_type,message
DFT_0205,Hf4Ta81W14Re1,3.152727,outlier_energy,"total energy -31377.888 Ry lies outside the ground-state cluster [-31383.233, -31383.228] Ry"
DFT_0206,Hf4Ta86W9Re1,2.974893,missing_output,kfcd output missing for DFT_0206_2.974893
DFT_0206,Hf4Ta86W9Re1,3.158907,outlier_energy,"total energy -31323.885 Ry lies outside the ground-state cluster [-31329.228, -31329.224] Ry"
DFT_0207,Hf4Ta88W7Re1,2.977221,missing_output,kfcd output missing for DFT_0207_2.977221
DFT_0207,Hf4Ta88W7Re1,3.161379,outlier_energy,"total energy -31302.284 Ry lies outside the ground-state cluster [-31307.627, -31307.622] Ry"
DFT_0208,Hf4Ta88W8,2.9779,missing_output,kfcd output missing for DFT_0208_2.977900
DFT_0208,Hf4Ta88W8,3.1621,outlier_energy,"total energy -31291.245 Ry lies outside the ground-state cluster [-31296.588, -31296.584] Ry"
DFT_0209,Hf4Ta91W5,2.981392,missing_output,kfcd output missing for DFT_0209_2.981392
DFT_0209,Hf4Ta91W5,3.018275,missing_output,kfcd output missing for DFT_0209_3.018275
DFT_0210,Hf5Ta85W8Re2,2.976542,missing_output,kfcd output missing for DFT_0210_2.976542
DFT_0210,Hf5Ta85W8Re2,3.160658,outlier_energy,"total energy -31323.022 Ry lies outside the ground-state cluster [-31329.700, -31329.696] Ry"
DFT_0211,Hf5Ta90W4Re1,3.001825,outlier_energy,"total energy -31257.716 Ry lies outside the ground-state cluster [-31264.661, -31264.646] Ry"
DFT_0212,Hf5Nb32Ta30W33,3.097163,outlier_energy,"total energy -23993.683 Ry lies outside the ground-state cluster [-24000.363, -24000.354] Ry"
DFT_0212,Hf5Nb32Ta30W33,3.133672,outlier_energy,"total energy -23993.680 Ry lies outside the ground-state cluster [-24000.363, -24000.354] Ry"
DFT_0213,Hf6Ta84W10,3.090834,outlier_energy,"total energy -31288.748 Ry lies outside the ground-state cluster [-31297.060, -31297.045] Ry"
DFT_0214,Hf6V15Nb41Ta38,2.992056,outlier_energy,"total energy -17097.242 Ry lies outside the ground-state cluster [-17105.257, -17105.249] Ry"
DFT_0215,Hf7Ta89W4,2.98954,missing_output,kfcd output missing for DFT_0215_2.989540
DFT_0215,Hf7Ta89W4,3.026524,outlier_energy,"total energy -31212.335 Ry lies outside the ground-state cluster [-31221.686, -31221.682] Ry"
DFT_0216,Hf7Nb44Ta44W5,3.173224,outlier_energy,"total energy -20834.080 Ry lies outside the ground-state cluster [-20843.428, -20843.420] Ry"
DFT_0217,Hf8Ta82W10,2.966975,missing_output,kfcd output missing for DFT_0217_2.966975
DFT_0217,Hf8Ta82W10,2.984884,missing_output,kfcd output missing for DFT_0217_2.984884
DFT_0217,Hf8Ta82W10,3.02181,missing_output,kfcd output missing for DFT_0217_3.021810
DFT_0217,Hf8Ta82W10,3.040385,missing_output,kfcd output missing for DFT_0217_3.040385
DFT_0217,Hf8Ta82W10,3.077089,missing_output,kfcd output missing for DFT_0217_3.077089
DFT_0217,Hf8Ta82W10,3.113794,missing_output,kfcd output missing for DFT_0217_3.113794
DFT_0217,Hf8Ta82W10,3.150499,missing_output,kfcd output missing for DFT_0217_3.150499
DFT_0217,Hf8Ta82W10,3.169516,outlier_energy,"total energy -31265.239 Ry lies outside the ground-state cluster [-31275.924, -31275.917] Ry"
DFT_0218,Hf8Nb31Ta27W34,3.103271,outlier_energy,"total energy -24204.890 Ry lies outside the ground-state cluster [-24215.579, -24215.571] Ry"
DFT_0218,Hf8Nb31Ta27W34,3.139852,outlier_energy,"total energy -24204.887 Ry lies outside the ground-state cluster [-24215.579, -24215.571] Ry"
DFT_0219,Hf8V10Nb40Ta40Mo2,2.969558,outlier_energy,"total energy -18314.173 Ry lies outside the ground-state cluster [-18324.867, -18324.863] Ry"
DFT_0219,Hf8V10Nb40Ta40Mo2,3.006295,outlier_energy,"total energy -18314.180 Ry lies outside the ground-state cluster [-18324.867, -18324.863] Ry"
